title,url,review,error
An empirical study on the interplay between semantic coupling and co-change of software classes,http://link.springer.com/10.1007/s10664-017-9569-2,,yes
An Application for Fundamental Computer Programming Learning,https://www.sciencedirect.com/science/article/pii/S187704281500511X,,yes
To var or not to var: how do C# developers use and misuse implicit and explicit typing?,http://link.springer.com/10.1007/s11219-018-9426-6,,yes
Comparison of Routing Algorithms With Static and Dynamic Link Cost in Software Defined Networking (SDN),https://ieeexplore.ieee.org/document/8864963/,Sim,no
Do knowledge acquisition and knowledge sharing really affect e-learning adoption? An empirical study,http://link.springer.com/10.1007/s10639-019-10062-w,,yes
Outage Analysis of Mixed Underlay Cognitive RF MIMO and FSO Relaying With Interference Reduction,http://ieeexplore.ieee.org/document/7883900/,Sim,no
On Load Balancing via Switch Migration in Software-Defined Networking,https://ieeexplore.ieee.org/document/8765729/,Sim,no
A New Gateway Selection Algorithm Based on Multi-Objective Integer Programming and Reinforcement Learning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146975508&doi=10.36244%2fICJ.2022.4.1&partnerID=40&md5=cd1ff8c8f6053040677c9f1af97c881d,Olá! Parece que você não inseriu,no
What constitutes debugging? An exploratory study of debugging episodes,https://link.springer.com/10.1007/s10664-023-10352-5,,yes
Continuous up skilling of teaching faculty for competency building: during and post pandemic,https://link.springer.com/10.1007/s40012-022-00365-8,,yes
Investigation of individual factors impacting the effectiveness of requirements inspections: a replicated experiment,http://link.springer.com/10.1007/s10664-012-9221-0,,yes
"Should Explanations of Program Code Use Audio, Text, or Both? A Replication Study",https://doi.org/10.1145/3428029.3428050,,yes
Improving Programming Learning in Engineering Students Through Discovery Learning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166780964&doi=10.1109%2fRITA.2023.3301409&partnerID=40&md5=39ccfa136a35d8ff36e7367173fd8b5a,"Por favor, forneça o título e res",no
Students and teacher academic evaluation perceptions: Methodology to construct a representation based on actionable knowledge discovery framework,http://link.springer.com/10.1007/s10639-016-9471-3,,yes
Requirements analysis gamification in legacy system replacement projects,http://link.springer.com/10.1007/s00766-019-00311-2,,yes
"Assessing the effectiveness and usability of using pair programming to improve programming language learning, productivity, and code quality",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021737271&partnerID=40&md5=1910929d21eba9d98734a3dc5fc1f9aa,,yes
"Inequity, inequality, and language rights in English as a medium of instruction programs",https://www.sciencedirect.com/science/article/pii/S0149718923000745,,yes
Re-imagining Computer Laboratories for Teaching Introductory Programming Concepts Using Web-based Integrated Development Environments: Opportunities and Challenges,https://doi.org/10.1145/3568364.3568375,Sim,no
A Review on Self-healing in Modern Power Distribution Systems,https://ieeexplore.ieee.org/document/10007796/,Sim,no
SOQAS: Distributively Finding High-Quality Answerers in Dynamic Social Networks,https://ieeexplore.ieee.org/document/8476526/,Sim.,no
Does aspect-oriented modeling help improve the readability of UML state machines?,http://link.springer.com/10.1007/s10270-012-0293-5,,yes
Predicting learners styles based on fuzzy model,http://link.springer.com/10.1007/s10639-016-9543-4,,yes
Combining BMC and Fuzzing Techniques for Finding Software Vulnerabilities in Concurrent Programs,https://ieeexplore.ieee.org/document/9955513/,Sim,no
The Effect of Code Smells on the Relationship Between Design Patterns and Defects,https://ieeexplore.ieee.org/document/9309303/,Sim,no
Analysing Agreement Among Different Evaluators in God Class and Feature Envy Detection,https://ieeexplore.ieee.org/document/9585447/,Sim,no
Block-Based Object-Oriented Programming,https://ieeexplore.ieee.org/document/9829246/,Sim,no
Identifying Student Misunderstandings About Singly Linked Lists in the C Programming Language,https://ieeexplore.ieee.org/document/9576162/,Sim,no
Robust Policy-Based Distributed Voltage Control Provided by PV-Battery Inverters,https://ieeexplore.ieee.org/document/9134711/,Sim.,no
Investigating whether and how software developers understand open source software licensing,http://link.springer.com/10.1007/s10664-018-9614-9,,yes
EasyCoding - Methodology to Support Programming Learning,https://drops.dagstuhl.de/entities/document/10.4230/OASIcs.ICPEC.2020.1,Sim,no
Remote robotics laboratory as support to teaching programming,https://ieeexplore.ieee.org/document/8190472/,Sim,no
Investigating primary school children’s embodied expression of programming concepts,https://www.sciencedirect.com/science/article/pii/S2212868923000119,,yes
Factors influencing graduate students’ behavioral intention to use Google Classroom: Case study-mixed methods research,https://link.springer.com/10.1007/s10639-022-11051-2,,yes
Code notes: designing a low-cost tangible coding tool for/with children,https://doi.org/10.1145/3202185.3210791,"Não deve ser revisado, pois o artigo",no
Learning Programming Difficulties: Toward an Integrated Conceptual Framework,https://link.springer.com/10.1007/978-3-031-36258-3_54,,yes
The impact of an adaptive e-course on students’ achievements based on the students’ prior knowledge,http://link.springer.com/10.1007/s10639-020-10125-3,,yes
Analyzing Current Visual Tools and Methodologies of Computer Programming Teaching in Primary Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129096366&doi=10.4018%2f978-1-6684-2411-7.ch030&partnerID=40&md5=4a386729789bdabe6e792643453c3d29,"Por favor, me forneça o título e",no
DeepScratch: Scratch Programming Language Extension for Deep Learning Education,http://thesai.org/Publications/ViewPaper?Volume=11&Issue=7&Code=IJACSA&SerialNo=77,Sim,no
Relation Between Programming Visual Learning With VILEP and Students’ Emotions,https://ieeexplore.ieee.org/document/9328264/,Sim,no
Double-Blind Proof of Existence for Decentralized Identities,https://ieeexplore.ieee.org/document/10328565/,Sim,no
Active Learning of Programming as a Complex Subject Applying Problem-Based Learning for Computational Thinking Development Model (CTPBL) in High School,https://link.springer.com/10.1007/978-981-19-7660-5_46,,yes
CoEdit: A novel error correction mechanism in compilers using spelling correction algorithms,https://www.sciencedirect.com/science/article/pii/S1319157821000495,,yes
A Multilevel Image Thresholding Based on Hybrid Salp Swarm Algorithm and Fuzzy Entropy,https://ieeexplore.ieee.org/document/8932356/,Sim,no
EEG Signals Denoising Using Optimal Wavelet Transform Hybridized With Efficient Metaheuristic Methods,https://ieeexplore.ieee.org/document/8944069/,Sim,no
Continuous and transparent multimodal authentication: reviewing the state of the art,http://link.springer.com/10.1007/s10586-015-0510-4,,yes
Remote Sensing Systems for Ocean: A Review (Part 1: Passive Systems),https://ieeexplore.ieee.org/document/9647980/,Sim,no
Special issue on quality in model-driven engineering,http://link.springer.com/10.1007/s11219-016-9327-5,,yes
SQL-Wordle: Gamification of SQL Programming Exercises,https://dl.acm.org/doi/10.1145/3617650.3624949,Sim.,no
Coded Caching for Time-Varying Files Popularities and Asynchronous Delivery,https://ieeexplore.ieee.org/document/9462458/,Sim,no
Exploring the Influence of Demographic Factors on Progression and Playtime in Educational Games,https://doi.org/10.1145/3555858.3555873,,yes
Toward Automated Security Analysis and Enforcement for Cloud Computing Using Graphical Models for Security,https://ieeexplore.ieee.org/document/9828397/,Sim,no
Detecting Code Quality Issues in Pre-written Templates of Programming Tasks in Online Courses,https://doi.org/10.1145/3587102.3588800,,yes
How Do Different Cognitive Styles Affect Learning Programming? Insights from a Game-Based Approach in Greek Schools,https://doi.org/10.1145/2940330,,yes
Learning Domain Knowledge Using Block-Based Programming: Design-Based Collaborative Learning,https://link.springer.com/10.1007/978-3-030-79840-6_8,,yes
Internet-based cognitive-behavioural therapy for young people with obsessive-compulsive disorder: Lessons learned,https://www.sciencedirect.com/science/article/pii/S2211364917300763,,yes
Hall of shame & fame: a pedagogical pattern for computer programming classes,,,yes
The acquisition of literacy skills in 1:1 classrooms – the Danish case,http://link.springer.com/10.1007/s10639-016-9488-7,,yes
Do Structured Flowcharts Outperform Pseudocode? Evidence From Eye Movements,https://ieeexplore.ieee.org/document/9994685/,Sim,no
The effects of scaffolded programming scripts on pre-service teachers’ computational thinking: Developing algorithmic thinking through programming robots,https://www.sciencedirect.com/science/article/pii/S2212868921000519,,yes
Enhancing Students' Ability in Learning Process of Programming Language using Adaptive Learning Systems: A Literature Review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094637436&doi=10.1515%2feng-2020-0092&partnerID=40&md5=c971d4327524f3bf268cc8f4b2d0299e,Olá! Parece que você deseja que,no
Can ChatGPT Play the Role of a Teaching Assistant in an Introductory Programming Course?,https://arxiv.org/abs/2312.07343,Sim,no
Semantic Kernel as a Universal Instrument for Classification and Systematization of Unstructured Information in the Field of Human Capital,http://link.springer.com/10.3103/S0147688217040050,,yes
Towards a Framework of Planning Collaborative Learning Scenarios in Computer Science,https://doi.org/10.1145/3488042.3488044,,yes
"Flowboard: How Seamless, Live, Flow-Based Programming Impacts Learning to Code for Embedded Electronics",https://doi.org/10.1145/3533015,,yes
ConEE: An Exhaustive Testing Tool to Support Learning Concurrent Programming Synchronization Challenges,https://doi.org/10.1145/2597959.2597972,Talvez,no
Nao Robot vs. Lego Mindstorms: The Influence on the Intrinsic Motivation of Computer Science Non-Majors,https://doi.org/10.1145/3364510.3364512,,yes
On the operation of multiple matching markets,https://www.sciencedirect.com/science/article/pii/S0899825616301129,,yes
Self-regulated learning strategies in higher education: Fostering digital literacy for sustainable lifelong learning,https://link.springer.com/10.1007/s10639-020-10201-8,,yes
Object-oriented programming course revisited,https://doi.org/10.1145/2828959.2828974,,yes
